821,1,5,Jacob
660,1,3,Jacob
95,1,5,Jacob
698,1,4,Jacob
637,1,4,Jacob
287,1,5,Jacob
252,1,5,Jacob
441,1,5,Jacob
777,1,4,Jacob
292,1,4,Jacob
275,1,4,Jacob
614,1,5,Jacob
697,1,5,Jacob
606,1,5,Jacob
253,1,5,Jacob
798,1,4,Jacob
764,1,4,Jacob
200,1,5,Jacob
290,1,5,Jacob
99,1,4,Jacob
457,1,4,Jacob
327,1,4,Jacob
769,1,4,Jacob
249,1,4,Jacob
684,1,4,Jacob
371,1,4,Jacob
618,1,4,Jacob
230,1,5,Jacob
770,1,5,Jacob
881,1,4,Jacob
254,1,3,Jacob
533,1,4,Jacob
340,1,5,Jacob
210,1,5,Jacob
26,1,3,Jacob
44,1,4,Jacob
201,1,3,Jacob
549,1,5,Jacob
174,1,3,Jacob
181,1,3,Jacob
751,1,3,Jacob
923,1,3,Jacob
109,1,4,Jacob
613,1,4,Jacob
847,1,3,Jacob
763,1,4,Jacob
157,1,5,Jacob
16,1,5,Jacob
535,1,3,Jacob
5,1,4,Jacob
471,1,4,Jacob
465,1,4,Jacob
805,1,4,Jacob
500,1,4,Jacob
251,1,4,Jacob
665,1,4,Jacob
262,1,3,Jacob
58,1,5,Jacob
256,1,5,Jacob
177,1,3,Jacob
311,1,4,Jacob
483,1,4,Jacob
512,1,4,Jacob
158,1,4,Jacob
178,1,4,Jacob
562,1,2,Jacob
643,1,5,Jacob
676,1,5,Jacob
588,1,4,Jacob
677,1,4,Jacob
924,1,5,Jacob
357,1,5,Jacob
93,1,5,Jacob
536,1,5,Jacob
395,1,5,Jacob
830,1,4,Jacob
655,1,2,Jacob
378,1,4,Jacob
265,1,5,Jacob
709,1,4,Jacob
733,1,2,Jacob
293,1,2,Jacob
463,1,1,Jacob
83,1,4,Jacob
297,1,3,Jacob
286,1,4,Jacob
630,1,4,Jacob
518,1,4,Jacob
731,1,2,Jacob
835,1,3,Jacob
514,1,5,Jacob
339,1,5,Jacob
634,1,3,Jacob
458,1,4,Jacob
301,1,4,Jacob
761,1,1,Jacob
455,1,4,Jacob
120,1,4,Jacob
817,1,4,Jacob
134,1,5,Jacob
435,1,5,Jacob
193,1,4,Jacob
742,1,4,Jacob
402,1,5,Jacob
768,1,5,Jacob
394,1,4,Jacob
757,1,4,Jacob
199,1,1,Jacob
680,1,4,Jacob
714,1,3,Jacob
560,1,4,Jacob
793,1,4,Jacob
679,1,3,Jacob
927,1,5,Jacob
42,1,5,Jacob
6,1,4,Jacob
434,1,4,Jacob
854,1,3,Jacob
89,1,5,Jacob
17,1,4,Jacob
552,1,3,Jacob
379,1,4,Jacob
59,1,2,Jacob
706,1,4,Jacob
81,1,4,Jacob
930,1,3,Jacob
929,1,3,Jacob
497,1,4,Jacob
540,1,3,Jacob
65,1,3,Jacob
56,1,4,Jacob
648,1,5,Jacob
125,1,4,Jacob
576,1,4,Jacob
806,1,4,Jacob
918,1,3,Jacob
422,1,3,Jacob
767,1,5,Jacob
664,1,4,Jacob
674,1,4,Jacob
231,1,3,Jacob
63,1,3,Jacob
592,1,4,Jacob
145,1,3,Jacob
653,1,4,Jacob
692,1,4,Jacob
182,1,4,Jacob
425,1,2,Jacob
748,1,4,Jacob
505,1,3,Jacob
82,1,4,Jacob
280,1,4,Jacob
553,1,3,Jacob
534,1,5,Jacob
658,1,4,Jacob
232,1,4,Jacob
248,1,3,Jacob
289,1,3,Jacob
919,1,4,Jacob
148,1,4,Jacob
699,1,3,Jacob
62,1,2,Jacob
902,1,5,Jacob
389,1,4,Jacob
360,1,3,Jacob
399,1,4,Jacob
432,1,2,Jacob
406,1,4,Jacob
691,1,5,Jacob
605,1,4,Jacob
542,1,4,Jacob
21,1,5,Jacob
899,1,3,Jacob
852,1,4,Jacob
20,1,3,Jacob
387,1,4,Jacob
108,1,4,Jacob
43,1,5,Jacob
933,1,3,Jacob
213,1,2,Jacob
932,1,4,Jacob
882,1,5,Jacob
450,1,4,Jacob
470,1,3,Jacob
815,1,5,Jacob
429,1,3,Jacob
234,1,3,Jacob
73,1,2,Jacob
124,1,3,Jacob
532,1,5,Jacob
890,1,4,Jacob
330,1,5,Jacob
198,1,4,Jacob
106,1,4,Jacob
84,1,2,Jacob
331,1,1,Jacob
150,1,4,Jacob
779,1,4,Jacob
620,1,5,Jacob
263,1,5,Jacob
577,1,5,Jacob
403,1,4,Jacob
350,1,4,Jacob
348,1,4,Jacob
2,1,4,Jacob
525,1,4,Jacob
494,1,3,Jacob
460,1,2,Jacob
184,1,4,Jacob
730,1,4,Jacob
661,1,5,Jacob
121,1,4,Jacob
622,1,3,Jacob
131,1,4,Jacob
